ID	Name	LongName	Description	AddressLine1	AddressLine2	State	Zipcode	Country	Longitude	Latitude
10001	ASGC	NULL	NULL	NULL	NULL	Taipei	00000	Taiwan	121.333450	25.052787
10002	Florida State HEP	NULL	NULL	NULL	NULL	FL	32306	United States	-84.29855	30.442499
10003	ORNL NSTG	NULL	NULL	NULL	NULL	TN	37831	United States	-84.195796	36.105971
10004	Purdue Physics	NULL	NULL	NULL	NULL	IN	47907	United States	-86.916215	40.424923
10005	T2_BR_UERJ			São Francisco Xavier 524 Third Floor Block A Room 3029A	NULL	Rio de Janeiro	20550-013	Brazil	-43.056793	-22.592458
10006	UCLA CMS Tier3	NULL	NULL	NULL	NULL	CA	90095	United States	-118.298662	33.786594
10007	UCR HEP	NULL	NULL	NULL	NULL	CA	92521	United States	-117.325385	33.974645
10008	UC Teraport	NULL	NULL	NULL	NULL	IL	60637	United States	-87.60544	41.779384
10009	UNM HPC	NULL	NULL	NULL	NULL	NM	87131	United States	-106.672872	35.044339
10010	UVA CS	NULL	NULL	NULL	NULL	VA	22904	United States	-78.485066	38.040101
10011	Vanderbilt ACCRE	NULL	NULL	NULL	NULL	TN	37240	United States	-86.796477	36.141621
10012	cinvestav	Centro de Investigacion y de Estudios Avanzados del IPN	The Center for Research and Avanced Studies of I.P.N. (CINVESTAV) is a public organization dedicated to promote, develop, and teach research in science. The Institution counts 37 Departments, separated into 4 research areas; Exact Sciences, Biology & Medicine, Technology & \nEngineering, and Social Sciences & Humanities. CINVESTAV have 9 Centers across Mexico which offer a variety of Academic programs and research areas.	Av. IPN 2508	Col. San Pedro Zacatenco	Distrito Federal	07360	Mexico	-99.129424	19.50798
10013	ISU HEP	NULL	NULL	NULL	NULL	IA	50011	United States	-93.467174	42.034759
10014	LONI_LSU	Louisiana Optical Network Initiative	LONI resources located at Louisiana State University	NULL	NULL	LA	70803	United States	-91.17918	30.413299
10015	LaTech		NULL	NULL	NULL	LA	71272	United States	-92.645398	32.525499
10016	OU DOSAR	NULL	NULL	NULL	NULL	OK	73019	United States	-97.447084	35.207171
10017	SPRACE	SAO PAULO RESEARCH AND ANALYSIS CENTER	NULL	R. Dr. Bento Teobaldo Ferraz 271 - Bl. II - Barra Funda 01140-070 - São Paulo	NULL	Sao Paulo	01140-070	Brazil	-46.665469	-23.52433
10018	MSU OSG	MSU OSG	D0 and Atlas Tier3 of the High Energy Physics Group at Michigan State University			MI	48824	United States	-84.79248	42.603642
10019	Clemson IT	NULL	NULL	NULL	NULL	SC	29634	United States	-82.710126	34.847372
10020	FermiGrid	NULL	NULL	NULL	NULL	IL	60510	United States	-88.242767	41.85143
10021	McGill HEP	NULL	NULL	NULL	NULL		H3A 2T5	Canada	-73.38	45.32
10022	CHEPREO	NULL	NULL	NULL	NULL	FL	33174	United States	-80.378723	25.846865
10023	UF HPC	NULL	NULL	NULL	NULL	FL	32611	United States	-82.353861	29.681312
10024	UF IHEPA	NULL	NULL	NULL	NULL	FL	32611	United States	-82.4	29.681312
10025	Lehigh Coral	NULL	NULL	NULL	NULL	PA	18015	United States	-75.37542	40.601261
10026	GLOW	NULL	NULL	NULL	NULL	WI	53706	United States	-89.384122	43.074656
10027	GPN Kansas	NULL	NULL	NULL	NULL	KS	66045	United States	-95.275623	38.952526
10028	NYSGRID Cornell	NULL	NULL	Rhodes Hall	NULL	NY	14853	United States	-76.49685	42.449454
10029	GRASE Niagra	NULL	NULL	NULL	NULL	NY	14109	United States	-78.830681	43.32684
10030	GRASE Buffalo	NULL	NULL	NULL	NULL	NY	14260	United States	-79.035645	42.619813
10031	NYSGRID Buffalo	NULL	NULL	NULL	NULL	NY	14260	United States	-78.9	42.768413
10032	GROW	NULL	NULL	NULL	NULL	IA	52242	United States	-98.701172	37.160317
10033	GROW-UNI	NULL	NULL	NULL	NULL	IA	50613	United States	-92.45609	42.527184
10034	MIT LIGO	NULL	NULL	NULL	NULL	MA	02139	United States	-71.10431	42.364347
10035	PSU LIGO	NULL	NULL	NULL	NULL	PA	16802	United States	-77.86281	40.806956
10036	UW Milwaukee Physics	NULL	NULL	NULL	NULL	WI	53201	United States	-87.958409	43.011264
10037	NERSC	NULL	NULL	NULL	NULL	CA	94720	United States	-122.253582	37.866825
10039	SLAC	NULL	This used to be blank.	NULL	NULL	CA	94305	United States	-122.164879	37.424571
10040	STAR Brookhaven	NULL	NULL	NULL	NULL	NY	11973	United States	-72.878863	40.8688
10041	STAR Birmingham	NULL	NULL	NULL	NULL			United Kingdom	1.53	52.29
10042	UIC Physics	NULL	NULL	NULL	NULL	IL	60607	United States	-87.65114	41.875882
10043	STAR WSU	NULL	NULL	NULL	NULL	MI	48208	United States	-83.08994	42.348937
10044	TIGRE TTU	NULL	NULL	NULL	NULL	TX	79409	United States	-101.821292	33.610018
10045	Boston University ATLAS Tier2	NULL	NULL	NULL	NULL	MA	02118	United States	-71.07276	42.338724
10046	Brookhaven ATLAS Tier1	NULL	NULL	NULL	NULL	NY	11973	United States	-72.878366	40.868386
10047	IU UITS	NULL	NULL	NULL	NULL	IN	47408	United States	-86.501091	39.173557
10048	MWT2 ATLAS IU	NULL	NULL	NULL	NULL	IN	47405	United States	-86.52471	39.16454
10049	OU ATLAS	NULL	NULL	NULL	NULL	OK	73019	United States	-97.447073	35.207175
10050	OU HEP	NULL	NULL	NULL	NULL	OK	73019	United States	-97.447051	35.207175
10051	SWT2 ATLAS OU	NULL	NULL	NULL	NULL	OK	73019	United States	-97.7	35.208566
10052	SMU Physics		NULL	NULL	NULL	TX	75205	United States	-96.79524	32.836094
10053	MWT2 ATLAS UC	NULL	NULL	NULL	NULL	IL	60637	United States	-87.7	41.779384
10054	AGLT2	Atlas Great Lakes Tier2	University of Michigan/Michigan State University combined site for USATLAS computing.	450 Church St	Physics Dept, University of Michigan	MI	48109-1040	United States	-83.71831	42.291637
10055	SWT2 ATLAS UTA	NULL	NULL	NULL	NULL	TX	76019	United States	-97.291484	32.771419
10056	UTA ATLAS	NULL	NULL	NULL	NULL	TX	76019	United States	-97.4	32.771419
10057	GLOW ATLAS	NULL	NULL	NULL	NULL	WI	53706	United States	-89.5	43.074296
10058	FNAL USCMS Tier1	NULL	NULL	NULL	NULL	IL	60510	United States	-88.255057	41.841368
10059	MIT CMS	NULL	NULL	NULL	NULL	MA	02139	United States	-71.2	42.364347
10060	Purdue CMS	NULL	NULL	NULL	NULL	IN	47907	United States	-86.910768	40.423004
10061	UCSD CMS Tier2	NULL	NULL	NULL	NULL	CA	92093	United States	-116.846046	33.016928
10062	UF CMS Tier2	NULL	NULL	NULL	NULL	FL	32611	United States	-82.5	29.681312
10063	GLOW CMS	NULL	NULL	NULL	NULL	WI	53706	United States	-89.6	43.074296
10064	Caltech CMS Tier2		NULL	1200 E. California Blvd	NULL	CA	91125	United States	-118.124281	34.137987
10065	Nebraska-Lincoln	NULL	The Holland Computing Center at the University of Nebraska-Lincoln	118 Schorr Center	NULL	NE	68588	United States	-96.705651	40.819818
10066	GLOW EDU	NULL	NULL	NULL	NULL	WI	53706	United States	-89.40774	43.074296
10067	Florida Tech	Florida Tech Physics and Space Sciences	HEP computing and US CMS at CERN	150 W. University Blvd	PSS	FL	32901	United States	-80.61987	28.077494
10069	LBNL	LBNL	NULL	NULL	NULL	CA	94720	United States	-122.3	37.866825
10070	Caltech LIGO	NULL	NULL	NULL	NULL	CA	91125	United States	-118.31	33.786594
10071	NWICG_NDCMS	NULL	NULL	NULL	NULL	IN	46556	United States	-86.24498	41.701415
10072	Purdue NWICG	NULL	NULL	NULL	NULL	IN	47907	United States	-87.1	40.424923
10073	Harvard SBGRID	NULL	NULL	75 Shattuck St	NULL	MA	02115	United States	-71.104674	42.336691
10074	UARK ACE	NULL	NULL	NULL	NULL	AR	72701	United States	-94.13376	36.040467
10075	OSG_GP_CE01	NULL	NULL	NULL	NULL	NY	10591	United States	-73.85721	41.080196
10076	UMD-CMS	NULL	NULL	NULL	NULL	MD	20742	United States	-76.877743	38.833563
10077	Illinois High Energy Physics	University of Illinois High Energy Physics	The High Energy Physics at the University of Illinois is a member of ATLAS	1110 W Green St	NULL	IL	61801	United States	-88.21246	40.109647
10078	NSF	NULL	NULL	NULL	NULL	VA	22230	United States	-77.110817	38.87972
10079	NCSA	NULL	NULL	NULL	NULL	IL	61801	United States	-88.3	40.109647
10081	UMissHEP	NULL	This is the University of Mississippi's High Energy Physics computing facility.	NULL	NULL	MS	38677	United States	-89.53721	34.366302
10082	ClemsonCS	NULL	NULL	NULL	NULL	SC	29634	United States	-82.8	34.847372
10083	UColorado_HEP	NULL	NULL	NULL	NULL	CO	80309	United States	-105.27	40.015
10084	Harvard University		NULL	NULL	NULL			United States	-71.07	42.22
10086	RENCI		NULL	NULL	NULL	NC	27514	United States	-79.02	35.56
10087	NYSGRID RIT	NYSGRID RIT	NULL	NULL	NULL	ny	14623	United States	-77.677889	43.088072
10088	OSG GOC	NULL	NULL	NULL	NULL	Indiana	47403	United States	-86.549134	39.14424
10089	UCSB_MRL\t	NULL	NULL	NULL	NULL	CA	93106	United States	-119.702053	34.421355
10090	UTD-HEP	NULL	The University of Texas at Dallas Atlas Tier3gs (aka "mini-Tier2") GRID production site	NULL	NULL	Texas	75080	United States	-96.709986	32.734332
10091	DukeTier3	Duke University HEP Tier 3	Duke University HEP group Tier 3 site	Physics Building	Science Drive	North Carolina	27708	United States	-78.942304	36.003111
10092	UJ Research Cluster		See https://physics.uj.ac.za/cluster	Auckland Park	NULL	Gauteng	2006	South Africa	27.99	-26.18
10093	UCHC_CBG	University of Connecticut Health Center_CompBioGrid	A 29 node, 57 CPU Compute Element	University of Connecticut Health Center	263 Farmington Avenue	Connecticut	06030	United States	-72.791183	41.729962
10094	OSG-Rice	NULL	NULL	NULL	NULL	TX	77030	United States	-95.409334	29.716318
10095	NYSGRID-CUNY-GRID	The City University of New York		365 Fifth Avenue	NULL	NY	10016	United States	-73.984509	40.748362
10096	GRASE-GENESEO	GRASE-GENESEO	NULL	NULL	NULL	NY	14454	United States	-177.1875	61.270233
10097	NYSGRID_ALBANY	NULL	NULL	NULL	NULL	NY	12204	United States	-73.755877	42.651728
10098	LONI_LTU	Louisiana Optical Network Initiative	LONI resources located at Louisiana Tech University	NULL	NULL	LA	71272	United States	-92.648617	32.524553
10099	rutgers-cms	NULL	NULL	136 Frelinghuysen Road	NULL	New Jersey	08854-8019	USA	-74.464514	40.522918
10100	OSU-CMS	NULL	CMS Tier3 at The Ohio State University	191 W Woodruff Ave	NULL	OH	43210	USA	-83.014476	40.003407
10101	CAS-CNIC	Chinese Academy of Sciences (CAS) Computer Network Information Center	The Computer Network Information Center(CNIC) is a subsidiary research institute of the Chinese Academy of Sciences (CAS). CNIC is a support institution for sustainable construction, operation and service for informatization of Chinese Academy of Sciences, an operation management institution for basic resources of China's Internet, R&D base for advanced network and high-end application technology, and important component of the advanced S&T networks both at home and abroad. CNIC boasts seven service/research centers, including China Science and Technology Network Center (CSTNet), Scientific Data Center, Supercomputing Center, ARP (Academia Resource Planning) Operation Support Center, China Internet Network Information Center (CNNIC), Collaborative Environment Research Center (CERC) and Online Popular Science Education Center.	NULL	NULL	Haidian District	100190	China	116.308823	39.987511
10102	UC Davis CMS T3	University of California, Davis CMS Tier 3		One Shields Ave	NULL	CA	95616	United States	-121.751304	38.536669
10103	Nebraska-Omaha	NULL	The Holland Computing Center at the University of Nebraska-Omaha	1110 South 67th Street	NULL	NE	68182-0694	USA	-96.016817	41.247321
10104	Brown-CMS	NULL	CMS T3 Computing Center	Physics Department	Brown University, 182 Hope Street	Rhode Island	02912	USA	-71.422119	41.812267
10105	SMU_HPC	NULL	Southern Methodist University HPC	3215 Daniel Ave	NULL	TX	75205	USA	-96.783886	32.846297
10106	CIGI	CyberInfrastructure and Geospatial Information Laboratory	Administrative group for CIGI resources	NULL	NULL	Illinois	61801	US	-88.22603	40.107487
10107	KISTI-NSDC	NULL	Support CDF	NULL	NULL	Daejeon	305-806	South Korea	127.360725	36.363729
10108	LU HEP	NULL	NULL	NULL	NULL	OK	73050	USA	-97.260064	35.94565
